Countries & Areas,Total,Under 18,Under5,APGR 2000-20,APGR 2020-30,Annual  Births,Fertility Births ,Life expectancy 1970,Lifeexpectancy 2000,Life expectancy 2020     ,,Total dependency,Child  dependency,Old Dependency ,Urban Population (%),2000-2020,2020-2030,Net migration rate ,
Malta,442,75,22,0.5,0.2,4,1.5,71,79,83,,56,22,33,95,0.7,0.2,2.1,
Mauritania,"4,650","2,134",690,2.7,2.3,153,4.4,50,61,65,,75,69,6,55,4.5,3.4,1.2,
Mauritius,"1,272",270,64,0.3,0.0,13,1.4,63,71,75,,41,24,18,41,0.1,0.3,0.0,
Mexico,"128,933","40,052","10,959",1.3,0.8,"2,192",2.1,61,74,75,,50,39,11,81,1.6,1.1,-0.5,
Micronesia (Federated States of),115,43,12,0.3,0.9,3,3.0,59,65,68,,55,48,7,23,0.5,1.6,-5.4,
Mongolia,"3,278","1,153",375,1.5,1.1,74,2.8,55,63,70,,55,48,7,69,2.4,1.4,-0.3,
Montenegro,628,137,37,0.1,-0.1,7,1.7,70,73,77,,51,27,24,67,0.8,0.4,-0.8,
Morocco,"36,911","11,679","3,325",1.2,0.9,668,2.4,53,69,77,,52,41,12,64,2.0,1.6,-1.4,
Mozambique,"31,255","15,968","5,157",2.7,2.5,"1,153",4.7,41,49,61,,88,83,5,37,3.9,3.8,-0.2,
Myanmar,"54,410","16,920","4,509",0.7,0.7,939,2.1,49,60,67,,46,37,9,31,1.4,1.7,-3.1,
Namibia,"2,541","1,085",336,1.7,1.5,70,3.3,53,52,64,,68,62,6,52,3.9,3.0,-2.0,
Nepal,"29,137","10,283","2,707",0.9,1.2,562,1.8,41,62,71,,53,44,9,21,3.0,3.1,1.5,
Netherlands,"17,135","3,296",859,0.3,0.2,173,1.7,74,78,82,,56,24,31,92,1.2,0.4,0.9,
New Zealand,"4,822","1,119",301,1.1,0.6,60,1.9,71,78,82,,56,30,25,87,1.1,0.8,3.2,
Nicaragua,"6,625","2,319",657,1.3,1.0,131,2.3,54,70,75,,54,46,9,59,1.6,1.5,-3.3,
Niger,"24,207","13,676","4,787",3.6,3.3,"1,098",6.7,36,50,63,,110,104,5,17,3.7,4.4,0.2,
Nigeria,"206,140","103,265","33,939",2.5,2.2,"7,639",5.2,41,46,55,,86,81,5,52,4.4,3.4,-0.3,
Niue,2,<1,<1,-0.8,0.2,-,-,-,-,-,,55,38,17,46,0.8,1.4,-,
North Macedonia,"2,083",412,112,0.1,-0.1,22,1.5,66,73,76,,44,24,21,58,0.1,0.5,-0.5,
Norway,"5,421","1,126",302,0.9,0.7,60,1.7,74,79,83,,53,26,27,83,1.3,1.1,5.3,
Oman,"5,107","1,279",454,3.9,1.4,90,2.8,50,72,78,,33,30,3,86,4.8,1.9,18.6,
Pakistan,"220,892","90,247","27,963",2.1,1.6,"6,046",3.4,53,63,67,,64,57,7,37,2.7,2.4,-1.1,
Palau,18,4,1,-0.3,0.2,-,-,-,-,-,,42,29,13,81,0.4,0.6,-,
Panama,"4,315","1,358",389,1.7,1.2,80,2.4,66,75,79,,54,41,13,68,2.1,1.7,2.7,
Papua New Guinea,"8,947","3,708","1,107",2.0,1.6,237,3.5,46,59,65,,63,57,6,13,2.1,2.8,-0.1,
Paraguay,"7,133","2,455",701,1.4,1.0,143,2.4,65,71,74,,56,45,11,62,1.9,1.5,-2.4,
Peru,"32,972","9,608","2,833",1.0,0.8,575,2.2,54,71,77,,50,37,13,78,1.4,1.1,3.1,
Philippines,"109,581","39,242","10,616",1.6,1.1,"2,183",2.5,63,69,71,,55,47,9,47,1.7,1.8,-0.6,
Poland,"37,847","6,802","1,885",-0.1,-0.2,362,1.4,70,74,79,,51,23,28,60,-0.2,0.0,-0.8,
Portugal,"10,197","1,643",401,0.0,-0.3,78,1.3,67,77,82,,56,20,35,66,0.9,0.4,-0.6,
Qatar,"2,881",450,135,7.5,1.3,27,1.8,68,77,80,,18,16,2,99,7.7,1.3,14.7,
Republic of Korea,"51,269","7,846","1,897",0.4,0.0,359,1.1,61,76,83,,40,18,22,81,0.5,0.0,0.2,
Republic of Moldova,"4,034",761,203,-0.2,-0.3,39,1.3,65,67,72,,40,22,17,43,-0.4,0.2,-0.3,
Romania,"19,238","3,588",940,-0.7,-0.5,184,1.6,68,70,76,,53,24,29,54,-0.6,-0.1,-3.8,
Russian Federation,"145,934","31,173","9,272",0.0,-0.2,"1,766",1.8,69,65,73,,51,28,23,75,0.1,0.1,1.3,
Rwanda,"12,952","5,948","1,885",2.3,2.1,398,3.9,45,49,69,,74,69,5,17,3.1,3.1,-0.7,
Saint Lucia,184,41,11,0.8,0.2,2,1.4,64,73,76,,39,25,14,19,-1.1,1.0,0.0,
Saint Vincent and the Grenadines,111,30,8,0.1,0.2,2,1.9,64,71,73,,47,32,15,53,0.9,0.9,-1.8,
Samoa,198,86,27,0.6,1.0,5,3.8,60,69,73,,73,64,9,18,-0.4,0.6,-14.3,
Sao Tome and Principe,219,107,32,2.1,1.8,7,4.2,55,61,71,,81,76,5,74,3.6,2.5,-8.0,
Saudi Arabia,"34,814","9,951","2,978",2.5,1.1,585,2.2,53,73,75,,39,34,5,84,2.7,1.3,4.1,
Senegal,"16,744","8,225","2,615",2.6,2.3,560,4.5,39,58,68,,84,78,6,48,3.4,3.2,-1.3,
Serbia,"8,737","1,649",419,-0.4,-0.5,81,1.4,68,72,76,,52,23,29,56,-0.1,-0.1,0.5,
Seychelles,98,27,8,0.9,0.4,2,2.4,66,71,73,,47,35,12,58,1.6,1.0,-2.1,
Sierra Leone,"7,977","3,758","1,159",2.6,1.7,258,4.1,36,39,55,,76,71,5,43,3.5,2.7,-0.6,
Singapore,"5,850",867,258,1.8,0.6,50,1.2,68,78,84,,35,17,18,100,1.8,0.6,4.7,
Slovakia,"5,460","1,007",284,0.1,-0.1,56,1.5,70,73,78,,48,23,25,54,-0.2,0.2,0.3,
Slovenia,"2,079",370,101,0.2,-0.1,19,1.6,69,76,81,,56,24,32,55,0.6,0.5,1.0,
Solomon Islands,687,318,103,2.4,2.1,22,4.3,56,67,73,,78,71,7,25,4.5,3.6,-2.5,
Somalia,"15,893","8,460","2,827",2.8,2.6,660,5.9,41,51,58,,96,91,6,46,4.3,3.7,-2.7,
South Africa,"59,309","20,064","5,765",1.3,1.0,"1,172",2.4,53,56,64,,52,44,8,67,2.1,1.6,2.5,
South Sudan,"11,194","5,366","1,707",2.8,1.9,390,4.5,36,49,58,,81,75,6,20,3.8,3.5,-15.9,
Spain,"46,755","8,092","1,990",0.6,-0.1,380,1.4,72,79,84,,52,22,30,81,0.9,0.2,0.9,
Sri Lanka,"21,413","6,087","1,660",0.6,0.3,326,2.2,64,71,77,,54,36,17,19,0.7,1.3,-4.6,
State of Palestine,"5,101","2,272",693,2.2,2.0,144,3.5,56,71,74,,71,66,6,77,2.5,2.3,-2.2,
Sudan,"43,849","20,403","6,339",2.3,2.1,"1,383",4.3,52,58,66,,77,70,6,35,2.6,3.2,-1.2,
Suriname,587,187,52,1.0,0.7,11,2.4,63,68,72,,51,40,11,66,1.0,0.9,-1.7,
Sweden,"10,099","2,110",601,0.6,0.5,120,1.8,74,80,83,,61,28,33,88,0.8,0.7,4.0,
Switzerland,"8,655","1,545",452,0.9,0.5,89,1.5,73,80,84,,52,23,29,74,0.9,0.7,6.1,
Syrian Arab Republic,"17,501","6,337","1,919",0.3,3.8,421,2.7,59,73,74,,55,48,8,55,0.6,4.8,-24.1,
Tajikistan,"9,538","4,047","1,357",2.0,1.7,278,3.5,54,62,71,,68,63,5,28,2.2,2.8,-2.2,
Thailand,"69,800","14,131","3,596",0.5,0.1,697,1.5,59,71,77,,42,23,18,51,2.8,1.2,0.3,
Timor-Leste,"1,318",579,178,1.9,1.6,38,3.9,40,59,70,,70,63,7,31,3.1,2.7,-4.3,
Togo,"8,279","3,917","1,220",2.5,2.1,268,4.2,47,53,61,,77,72,5,43,3.7,3.2,-0.3,
Tonga,106,44,12,0.4,0.8,3,3.5,64,70,71,,69,59,10,23,0.4,1.1,-7.7,
Trinidad and Tobago,"1,399",335,88,0.5,0.1,17,1.7,65,69,74,,46,29,17,53,0.2,0.4,-0.6,
Tunisia,"11,819","3,344","1,004",0.9,0.7,196,2.2,51,73,77,,50,36,13,70,1.4,1.1,-0.3,
Turkey,"84,339","24,281","6,567",1.4,0.5,"1,301",2.0,52,70,78,,49,36,13,76,2.1,1.0,3.5,
Turkmenistan,"6,031","2,152",661,1.4,1.1,135,2.7,58,64,68,,55,48,7,53,2.0,2.0,-0.9,
Uganda,"45,741","24,317","7,796",3.1,2.4,"1,670",4.7,49,46,64,,92,88,4,25,5.6,4.4,4.0,
Ukraine,"43,734","8,200","2,114",-0.5,-0.6,396,1.4,71,67,72,,49,24,25,70,-0.4,-0.3,0.2,
United Arab Emirates,"9,890","1,685",499,5.5,0.7,100,1.4,61,74,78,,19,18,2,87,5.9,0.9,4.2,
United Kingdom,"67,886","14,199","3,924",0.7,0.3,771,1.7,72,78,81,,57,28,29,84,1.0,0.6,3.9,
United Republic of Tanzania,"59,734","30,030","9,739",2.8,2.6,"2,153",4.8,47,51,66,,86,81,5,35,4.9,4.3,-0.7,
United States,"331,003","73,493","19,676",0.8,0.5,"3,958",1.8,71,77,79,,54,28,26,83,1.0,0.7,2.9,
Uruguay,"3,474",852,237,0.2,0.2,47,2.0,69,75,78,,55,31,23,96,0.4,0.3,-0.9,
Uzbekistan,"33,469","11,165","3,432",1.4,1.0,677,2.4,62,67,72,,51,43,7,50,1.9,1.3,-0.3,
Vanuatu,307,137,42,2.4,2.0,9,3.7,54,67,71,,72,66,6,26,3.2,2.7,0.4,
Venezuela (Bolivarian Republic of),"28,436","9,294","2,363",0.8,1.5,509,2.2,65,72,72,,54,42,12,88,0.8,1.6,-22.3,
Viet Nam,"97,339","26,506","7,892",0.9,0.6,"1,567",2.0,60,73,75,,45,34,11,37,3.0,2.2,-0.8,
Yemen,"29,826","13,542","4,115",2.6,1.8,875,3.6,37,61,66,,72,67,5,38,4.3,3.2,-1.1,
Zambia,"18,384","9,408","2,946",2.7,2.5,654,4.5,50,44,64,,86,82,4,45,3.9,3.7,-0.5,
Zimbabwe,"14,863","7,245","2,097",1.1,1.5,432,3.5,57,45,62,,82,76,5,32,0.8,2.1,-8.2,
